㐀	5
㐁	6
㐂	6
㐃	3
㐄	3
㐅	2
㐆	6
㐇	3
㐈	3
㐉	3
㐊	4
㐋	4
㐌	5
㐍	5
㐎	5
㐏	5
㐐	6
㐑	6
㐒	6
㐓	6
㐔	6
㐕	6
㐖	7
㐗	7
㐘	7
㐙	8
㐚	8
㐛	8
㐜	9
㐝	9
㐞	9
㐟	9
㐠	9
㐡	11
㐢	11
㐣	11
㐤	12
㐥	16
㐦	19
㐧	4
㐨	8
㐩	8
㐪	6
㐫	6
㐬	7
㐭	8
㐮	13
㐯	17
㐰	5
㐱	5
㐲	5
㐳	5
㐴	5
㐵	5
㐶	5
㐷	5
㐸	6
㐹	6
㐺	6
㐻	6
㐼	6
㐽	6
㐾	6
㐿	6
㑀	6
㑁	7
㑂	7
㑃	7
㑄	7
㑅	7
㑆	7
㑇	7
㑈	7
㑉	8
㑊	8
㑋	8
㑌	8
㑍	8
㑎	8
㑏	8
㑐	8
㑑	8
㑒	8
㑓	8
㑔	8
㑕	8
㑖	8
㑗	9
㑘	9
㑙	9
㑚	9
㑛	9
㑜	9
㑝	9
㑞	9
㑟	9
㑠	9
㑡	9
㑢	9
㑣	10
㑤	11
㑥	10
㑦	10
㑧	10
㑨	10
㑩	10
㑪	10
㑫	10
㑬	10
㑭	10
㑮	11
㑯	11
㑰	11
㑱	11
㑲	11
㑳	12
㑴	12
㑵	12
㑶	12
㑷	12
㑸	12
㑹	12
㑺	12
㑻	13
㑼	13
㑽	13
㑾	13
㑿	13
㒀	13
㒁	13
㒂	14
㒃	14
㒄	14
㒅	14
㒆	14
㒇	14
㒈	14
㒉	14
㒊	14
㒋	14
㒌	14
㒍	14
㒎	14
㒏	14
㒐	14
㒑	15
㒒	15
㒓	15
㒔	15
㒕	15
㒖	15
㒗	15
㒘	15
㒙	16
㒚	16
㒛	16
㒜	16
㒝	17
㒞	17
㒟	18
㒠	18
㒡	19
㒢	19
㒣	19
㒤	20
㒥	20
㒦	20
㒧	21
㒨	21
㒩	23
㒪	26
㒫	6
㒬	8
㒭	10
㒮	11
㒯	18
㒰	5
㒱	5
㒲	6
㒳	7
㒴	7
㒵	7
㒶	7
㒷	7
㒸	9
㒹	20
㒺	8
㒻	11
㒼	11
㒽	12
㒾	13
㒿	22
㓀	4
㓁	4
㓂	9
㓃	12
㓄	15
㓅	4
㓆	6
㓇	6
㓈	7
